assemblyID,Species,clade,subfamily,tribe
AN21TNTL0097,Eremochloa lanceolata,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0020,Eremochloa ophiuroides,PACMAD,Panicoideae,Andropogoneae
AN21TS19,Eremochloa zeylanica,PACMAD,Panicoideae,Andropogoneae
AN20TSCR000208,Eriochrysis cayennensis,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0216,Eriochrysis cayennensis,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0225,Eriochrysis cayennensis,PACMAD,Panicoideae,Andropogoneae
AN21TS62,Eriochrysis holcoides,PACMAD,Panicoideae,Andropogoneae
AN21TS60,Eriochrysis laxa,PACMAD,Panicoideae,Andropogoneae
AN21TS61,Eriochrysis villosa,PACMAD,Panicoideae,Andropogoneae
MCRTL003,Euclasta condylotricha,PACMAD,Panicoideae,Andropogoneae
AN22TNTL056,Eulalia annua,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0198,Eulalia aurea,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0093,Eulalia monostachya,PACMAD,Panicoideae,Andropogoneae
AN21TS38,Eulalia polyneura,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0129,Eulalia quadrinervis,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0173,Eulalia villosa,PACMAD,Panicoideae,Andropogoneae
MCRTL015,Eulaliopsis binata,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0148,Exotheca abyssinica,PACMAD,Panicoideae,Andropogoneae
Festuca_brevipila,Festuca brevipila,BOP,Pooideae,Poeae
AN21TNTL0126,Germainia capitata,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0128,Germainia truncatiglumis,PACMAD,Panicoideae,Andropogoneae
KIB_Gang_2,Guadua angustifolia,BOP,Bambusoideae,Bambuseae
MCRTL053,Hackelochloa granularis,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0234,Hackelochloa porifera,PACMAD,Panicoideae,Andropogoneae
AN20T190,Hemarthria altissima,PACMAD,Panicoideae,Andropogoneae
Hp-KelloggPI404118-DRAFT-PanAnd-1.0,Hemarthria compressa,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0333,Hemarthria sibirica,PACMAD,Panicoideae,Andropogoneae
AN20T019,Hemarthria uncinata,PACMAD,Panicoideae,Andropogoneae
MCRTL010,Hemisorghum mekongense,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0230,Heteropholis sulcata,PACMAD,Panicoideae,Andropogoneae
AN20T007,Heteropogon contortus,PACMAD,Panicoideae,Andropogoneae
Hc-AUB53_1-DRAFT-PanAnd-1.0,Heteropogon contortus,PACMAD,Panicoideae,Andropogoneae
AN20T191,Heteropogon melanocarpus,PACMAD,Panicoideae,Andropogoneae
AN20T020,Heteropogon melanocarpus,PACMAD,Panicoideae,Andropogoneae
AN20T010,Heteropogon triticeus,PACMAD,Panicoideae,Andropogoneae
MCRTL006,Heteropogon triticeus,PACMAD,Panicoideae,Andropogoneae
FB19_011_3,Hordeum bulbosum,BOP,Pooideae,Triticeae
A17,Hordeum bulbosum,BOP,Pooideae,Triticeae
FB19_001_1,Hordeum bulbosum,BOP,Pooideae,Triticeae
FB19_028_3,Hordeum bulbosum,BOP,Pooideae,Triticeae
A42,Hordeum bulbosum,BOP,Pooideae,Triticeae
ASM2249601v1,Hordeum marinum,BOP,Pooideae,Triticeae
Hordeum_pubiflorum_assembly1,Hordeum pubiflorum,BOP,Pooideae,Triticeae
MorexV3_pseudomolecules_assembly,Hordeum vulgare,BOP,Pooideae,Triticeae
Hvulgare_HOR_13663_BPGv2,Hordeum vulgare,BOP,Pooideae,Triticeae
Hvulgare_HOR_4224_BPGv2,Hordeum vulgare,BOP,Pooideae,Triticeae
Hvulgare_HOR_19184_BPGv2,Hordeum vulgare,BOP,Pooideae,Triticeae
Hvulgare_FT262_BPGv2,Hordeum vulgare,BOP,Pooideae,Triticeae
KIB_Hcal_1,Hsuehochloa calcarea,BOP,Bambusoideae,Arundinarieae
AN21TNTL0329,Hyparrhenia arrhenobasis,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0328,Hyparrhenia barteri,PACMAD,Panicoideae,Andropogoneae
AT20TN1MCRTL026,Hyparrhenia bracteata,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0334,Hyparrhenia collina,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0335,Hyparrhenia confinis,PACMAD,Panicoideae,Andropogoneae
MCRTL055,Hyparrhenia confinis,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0336,Hyparrhenia cyanescens,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0269,Hyparrhenia cymbaria,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0327,Hyparrhenia dichroa,PACMAD,Panicoideae,Andropogoneae
A1025002,Hyparrhenia diplandra,PACMAD,Panicoideae,Andropogoneae
Hd-A1025-Draft-PanAnd-1.0,Hyparrhenia diplandra,PACMAD,Panicoideae,Andropogoneae
AT20TN1MCRTL070,Hyparrhenia figariana,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0268,Hyparrhenia filipendula,PACMAD,Panicoideae,Andropogoneae
AN21TS40,Hyparrhenia finitima,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0321,Hyparrhenia gazensis,PACMAD,Panicoideae,Andropogoneae
MCRTL037,Hyparrhenia glabriuscula,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0320,Hyparrhenia griffithii,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0199,Hyparrhenia hirta,PACMAD,Panicoideae,Andropogoneae
MCRTL064,Hyparrhenia involucrata,PACMAD,Panicoideae,Andropogoneae
AT20TN1MCRTL029,Hyparrhenia madaropoda,PACMAD,Panicoideae,Andropogoneae
AN20T192,Hyparrhenia mobukensis,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0042,Hyparrhenia newtonii,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0319,Hyparrhenia niariensis,PACMAD,Panicoideae,Andropogoneae
AN22TNTL132,Hyparrhenia nyassae,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0318,Hyparrhenia pilgeriana,PACMAD,Panicoideae,Andropogoneae
